"identifier";"province";"district";"chiefdom";"community";"water point name";"implementing partner";"facility";"geo latitude";"geo longitude";"geo elevation";"water_supply_type";"pH high";"pH low";"ammonia";"fluoride";"iron";"nitrate";"phosphate";"potassium";"sulfate";"nitrite";"chloride";"turbidity";"electrical conductivity";"temperature";"barcode";"ecoli risk indication";"MPN_100ml";"conf_inter_95";"risk_assessment"
"14gb-31mg-8qb5";"Western";"Western Area Rur";"Koya Rural";"MASAILOR";"MASAILOR COMMUNITY WATER POINT";"1";"Community water point";"8.314261894939582";"-12.938834251502769";"70.26100824311752";"New borehole - handpump";6,92;NA;0,15;0,07;0,22;1;0,46;3,1;NA;NA;NA;NA;121;30,9;"02053";"Very High Risk / Unsafe";">100";"9435.1";0
"eb1e-hrm1-8ma2";"Southern";"Bo";"Selenga";"DAMBALA";"DAMBALA WATER POINT";NA;"Community water point";"8.12197847";"-11.70210947";"118.0";"Rehabilitated borehole - handpump";6,5;NA;0,1;0,05;0,02;3,2;0,11;0,6;5;0,01;NA;0;21;29,9;"01458";"Very High Risk / Unsafe";">100";"9435.1";2
"t5f3-20jn-yq0q";"Southern";"Bo";"Valunia";"BAOMA/NYANDEHUN GANDEMA";"BDEC PRIMARY SCHOOL BAOMA/NYANDEHUN GANDEMA WATER POINT";NA;"School";"8.35888851";"-11.75410739";"130.0";"New hand dug well - handpump";6,5;NA;0,05;0,05;0,06;1;0,05;0,6;29;0,01;NA;0;51;30,3;"02538";"Low Risk / Safe";"0";"2.87";3
"ee9e-yx53-s50h";"Southern";"Bo";"Valunia";"MONGERA";"MONGERE WATER POINT";NA;"Community water point";"8.31941229";"-11.7329637";"137.0";"Rehabilitated borehole - handpump";6,5;NA;0,05;0,05;0,02;1,1;0,1;0,7;5;0,01;NA;0;33;33,2;"02535";"Low Risk / Safe";"0";"2.87";0
"t26m-mfp4-mxhc";"Southern";"Bo";"Valunia";"KPUABU";"KPUABA WATER POINT";NA;"PHU";"8.19195713";"-11.74358805";"144.0";"Rehabilitated hand dug well - handpump";6,5;NA;0,11;0,05;0,02;1;0,05;0,6;5;0,01;NA;0;73;32,8;"02537";"Low Risk / Safe";"0";"2.87";2
"1xw4-rqbw-5y5c";"Southern";"Bo";"Selenga";"DAMBALA";"DAMBALA WATER POINT";NA;"School";"8.12408919";"-11.70416031";"131.0";"New hand dug well - handpump";7,54;NA;0,09;0,05;0,02;1,4;0,07;0,7;13;0,01;NA;0;200;29;"01462";"Intermediate Risk / Possibly Safe";"4.7";"22.75";2
"ydv5-u0su-mxwp";"Southern";"Bo";"Selenga";"DAMBALA";"DAMBALA WATER POINT";NA;"PHU";"8.12083181";"-11.70369088";"135.0";"Rehabilitated hand dug well with submersible pump";6,5;NA;0,08;0,05;0,02;5,2;0,11;0,8;5;0,01;NA;0;73;29,3;"01461";"Intermediate Risk / Possibly Safe";"4.7";"22.75";3
"vtq0-qt62-e012";"Southern";"Bo";"Valunia";"NYANDEHUN GANDEMA";"NYANDEHUN GANDEMA WATER POINT";NA;"Community water point";"8.36760796";"-11.7555673";"139.0";"Rehabilitated hand dug well - handpump";6,5;NA;0,04;0,05;0,02;1;0,05;3,6;5;0,01;NA;0;91;30,3;"02552";"High Risk / Possibly Unsafe";"13.6";"83.06";2
"t3s8-bf08-bq4t";"Southern";"Bo";"Valunia";"MONGERE";"MONGERA WATER POINT";NA;"School";"8.31911737";"-11.73403002";"118.0";"New hand dug well - handpump";6,82;NA;0,02;0,05;0,02;1,8;0,05;1,5;13;0,01;NA;10;137;31,7;"02534";"Very High Risk / Unsafe";">100";"9435.1";2
"jvh8-649x-rxn6";"Eastern";"Kenema";"Nongowa";"KOMENDE STATION";"KOMENDE STATION MCHP WATER POINT";NA;"PHU";"7.985171666666668";"-11.008225000000001";"160.6";"New borehole with submersible pump";6,5;NA;0,02;0,05;0,02;1,6;0,05;0,6;47;0,01;NA;0;40;32,5;"03944";"High Risk / Probably Unsafe";"48.3";"351.91";2
"e63r-hmca-xh0h";"Northern";"Koinadugu";"Wara Wara Yagala";"HEREMOKONO";"BINTA'S ANGEL PRI. SCH WELL";"3";"School";"9.499766666666666";"-11.595498333333333";"418.4";"Rehabilitated hand dug well - handpump";6,5;NA;0,03;0,05;0,02;1;0,05;0,8;5;0,01;NA;0;36;28,8;"06383";"High Risk / Probably Unsafe";"48.3";"351.91";1
"391d-53x1-34bk";"Eastern";"Kenema";"Nongowa";"VAAHUN";"VAAHUN MCHP WATER POINT";NA;"PHU";"8.027563333333335";"-11.004118333333334";"129.0";"New borehole with submersible pump";6,5;NA;0,02;0,05;0,02;1,2;0,07;0,6;83;0,01;NA;0;23;33;"03946";"Intermediate Risk / Probably Safe";"1.1";"5.16";0
