"region","functionality_main","water_months","seasonality","dryness","dryness_duration","puits_safety","latitude","longitude","photo"
"Gao","fonctionnel",2,"Yes","non",NA,"Non",15.22648721,0.29776075,"https://akvoflow-87.s3.amazonaws.com/images/18403ded-87db-4c23-a77c-4b23cd26fa18.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.22577968,0.2911437,"https://akvoflow-87.s3.amazonaws.com/images/7e47c12f-af01-45c5-ab9c-17807e84c009.jpg"
"Gao","sec",1,"Yes","oui","2 mois","Non",15.11722839,0.21586797,"https://akvoflow-87.s3.amazonaws.com/images/19b53166-63c5-459b-a6a6-686309b6e194.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.2891557,-0.02759126,"https://akvoflow-87.s3.amazonaws.com/images/db5721d8-31ab-4115-9a87-ca4a72ea9f83.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.28923712,-0.02812287,"https://akvoflow-87.s3.amazonaws.com/images/18409665-4ae4-4de0-b076-bebaa04b8a9a.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29226728,-0.02362188,"https://akvoflow-87.s3.amazonaws.com/images/9b8349d8-f8c2-425b-ac4a-70ab36271c66.jpg"
"Gao","sec",1,"Yes","oui","3 mois","Non",15.12120678,0.21400621,"https://akvoflow-87.s3.amazonaws.com/images/33fce5dd-7624-4d81-9c84-3255d464b1ad.jpg"
"Gao","sec",5,"Yes","oui","1","Non",15.14430898,0.19604302,"https://akvoflow-87.s3.amazonaws.com/images/d8de5a19-975c-443b-a58d-2de2c9ab40c0.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.14816182,0.3429874,"https://akvoflow-87.s3.amazonaws.com/images/49e8d23e-2c14-4190-9de6-c376b171c541.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29560269,-0.02491515,"https://akvoflow-87.s3.amazonaws.com/images/c48033d4-b36e-4794-bab0-c01f83287c59.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.2962228,-0.02437176,"https://akvoflow-87.s3.amazonaws.com/images/59fb702d-6edb-4dac-9069-07fe3422b450.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.14772183,0.39571457,"https://akvoflow-87.s3.amazonaws.com/images/55c05461-fae5-4770-af81-075b98bcd1c8.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.16175997,0.42083908,"https://akvoflow-87.s3.amazonaws.com/images/3056471a-24f4-442c-934a-c8afae62b185.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.16177997,0.42138333,"https://akvoflow-87.s3.amazonaws.com/images/eb179998-24d6-4c54-bd1a-e1e3b61f7351.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.1611425,0.4220712,"https://akvoflow-87.s3.amazonaws.com/images/e5caf221-c0d7-4fad-81e2-3c9907e1dd1e.jpg"
"Gao","sec",4,"Yes","oui","2 mois","Non",15.16566455,0.38207989,"https://akvoflow-87.s3.amazonaws.com/images/7609a963-3dfa-4abb-8e47-fca37a4d8702.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.17801062,0.36669946,"https://akvoflow-87.s3.amazonaws.com/images/2464f239-3cbe-42cd-a312-be0501a9d42b.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.18577763,0.31678245,"https://akvoflow-87.s3.amazonaws.com/images/6a91f18b-8b90-44e8-9857-fb1699ca510e.jpg"
